"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72784524163","2024-01-01","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  38.0","24","  35.4","24","1026.8","19","011.7","21","  7.0","24","  1.5","23","  6.0","999.9","  41.0"," ","  32.0"," "," 0.01","G","999.9","100000"
"72784524163","2024-01-02","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  38.1","24","  34.8","24","1023.8","17","009.0","24"," 10.0","24","  1.6","24","  8.0","999.9","  41.0"," ","  36.0"," "," 0.00","G","999.9","000000"
"72784524163","2024-01-03","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  39.4","24","  36.4","24","1018.2","14","003.5","24","  8.5","24","  2.9","24","  7.0","999.9","  43.0"," ","  36.0"," "," 0.25","G","999.9","010000"
"72784524163","2024-01-04","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  39.1","24","  35.2","24","1021.5","24","006.5","24","  9.9","24","  3.2","24","  7.0","999.9","  48.0"," ","  33.1"," "," 0.02","G","999.9","010000"
"72784524163","2024-01-05","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  38.7","24","  33.8","24","1023.6","22","008.5","24","  9.1","24","  4.8","24"," 14.0"," 27.0","  50.0"," ","  28.9"," "," 0.00","G","999.9","000000"
"72784524163","2024-01-06","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  45.0","24","  32.1","24","1010.4","24","995.6","24"," 10.0","24","  9.6","24"," 21.0"," 32.1","  50.0"," ","  28.9"," "," 0.00","G","999.9","000000"
"72784524163","2024-01-07","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  35.5","24","  27.0","24","1012.6","24","997.7","24"," 10.0","24","  3.3","23"," 11.1","999.9","  48.9"," ","  23.0"," "," 0.00","G","999.9","000000"
"72784524163","2024-01-08","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  31.3","24","  27.2","24","1021.0","18","006.2","24"," 10.0","24","  2.3","24","  7.0","999.9","  46.9"," ","  23.0"," "," 0.00","G","999.9","010000"
"72784524163","2024-01-09","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  43.6","24","  35.5","24","1006.4","23","992.1","24","  9.7","24"," 15.1","24"," 29.9"," 48.0","  52.0"," ","  24.1"," "," 0.15","G","999.9","010000"
"72784524163","2024-01-10","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  38.9","24","  31.0","24","1003.8","20","988.5","24","  9.3","24"," 12.9","24"," 28.0"," 46.0","  52.0"," ","  33.1"," "," 0.17","G","999.9","011000"
"72784524163","2024-01-11","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  36.7","24","  28.5","24","1007.6","22","992.7","24"," 10.0","24","  7.8","24"," 22.0"," 35.0","  46.9"," ","  26.1"," "," 0.01","G","999.9","000000"
"72784524163","2024-01-12","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","  16.4","24","   4.7","24","1021.8","20","004.7","24","  9.3","24"," 14.0","24"," 20.0"," 28.9","  36.0","*","   9.0","*"," 0.00","G","999.9","011100"
"72784524163","2024-01-13","46.2695","-119.11816","122.1","PASCO TRI CITIES AIRPORT, WA US","   6.4","24","  -5.7","24","1031.9","24","016.1","24"," 10.0","24"," 11.0","24"," 15.9","999.9","  18.0"," ","   1.9"," "," 0.00","G","999.9","000000"
