DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyWetBulbTemperature,DailyWindDirection,DailyWindSpeed
2020-01-01,72797094240,29.82712121212121,45.18571428571428,48.27142857142857,0.01891304347826087,-RA:02 BR:1 |RA |RA,-0.049166666666666664,2.75,89.4,29.8725,15,29.612285714285708,46.81428571428572,260,10.942857142857143
2020-01-02,72797094240,29.95228571428572,41.51282051282051,42.87179487179487,0.042058823529411773,-RA:02 |RA |RA,0.02083333333333333,4.666666666666667,95.23076923076923,29.98714285714286,OVC:08 4,29.73923076923078,42.30769230769231,VRB,7.435897435897436
2020-01-03,72797094240,29.754772727272726,46.234042553191486,48.170212765957444,0.06486486486486487,-RA:02 |RA |RA,0.01636363636363637,5.363636363636363,93.27659574468085,29.761111111111113,OVC:08 14,29.53553191489361,47.234042553191486,VRB,12.893617021276595
2020-01-04,72797094240,30.187142857142856,38.58974358974359,43.46153846153846,0.007692307692307693,-RA:02 |RA |RA,-0.06083333333333333,3.25,83.23076923076923,30.16285714285715,26,29.96871794871795,41.333333333333336,140,8.717948717948717
2020-01-05,72797094240,30.176923076923075,40.142857142857146,42.714285714285715,0.039795918367346944,-RA:02 |RA |RA,-0.015833333333333335,4.666666666666667,90.85714285714286,30.19928571428571,15,29.96125,41.69642857142857,VRB,8.696428571428571
2020-01-06,72797094240,30.0474358974359,47.86046511627907,48.395348837209305,0.08611111111111111,-RA:02 |RA |RA,0.0275,5.333333333333333,98.06976744186046,30.047500000000007,OVC:08 4,29.830232558139535,48.093023255813954,210,11.023255813953488
2020-01-07,72797094240,29.734565217391303,45.404761904761905,46.87755102040816,0.0368918918918919,-RA:02 |RA |RA,0.023333333333333334,5.583333333333333,95.5,29.76846153846154,OVC:08 4,29.5198,46.11904761904762,210,10.875
2020-01-08,72797094240,29.899512195121947,33.06666666666667,36.266666666666666,0.0034,BR:1 ||,-0.02,3.5,89.04444444444445,29.886428571428578,OVC:08 2,29.681111111111115,34.977777777777774,000,4.133333333333334
2020-01-09,72797094240,30.14444444444444,35.46938775510204,37.42857142857143,0.0027777777777777783,BR:1 ||,-0.025000000000000005,3.0833333333333335,93.26530612244898,30.142142857142858,CLR:00,29.9269387755102,36.714285714285715,000,1.7142857142857142
2020-01-10,72797094240,29.6317808219178,41.55844155844156,43.03896103896104,0.0843939393939394,-RA:02 BR:1 |RA |RA,0.08416666666666667,6.5,94.76623376623377,29.653214285714288,BKN:07 7 OVC:08 14,29.413636363636364,42.51948051948052,200,9.948051948051948
2020-01-11,72797094240,29.789803921568623,37.574074074074076,41.833333333333336,0.028181818181818186,-RA:02 BR:1 |RA |RA,-0.04000000000000001,2.909090909090909,86.05555555555556,29.827037037037034,26,29.577962962962957,40.111111111111114,VRB,8.24074074074074
2020-01-12,72797094240,29.621785714285718,33.93333333333333,39.3,0.022395833333333337,-RA:02 |RA |RA,0.0025000000000000005,4.083333333333333,81.9,29.62821428571429,26,29.404166666666665,37.25,280,12.266666666666667
2020-01-13,72797094240,29.798888888888886,29.586206896551722,32.241379310344826,0.00697674418604651,-SN:03 BR:1 |SN |,-0.011666666666666667,3.5,90.24137931034483,29.80214285714285,41,29.581379310344825,31.20689655172414,000,3.0344827586206895
2020-01-14,72797094240,29.87835443037974,29.06024096385542,31.72289156626506,0.03893333333333334,-SN:03 BR:1 |SN |,-0.013333333333333334,4.666666666666667,90.27710843373494,29.890357142857145,VV:09 5,29.66024096385542,30.734939759036145,000,7.0602409638554215
2020-01-15,72797094240,29.384081632653064,33.698113207547166,37.54716981132076,0.026111111111111106,-RA:02 |RA |RA,0.07583333333333334,6.166666666666667,86.32075471698113,29.471428571428568,BKN:07 17 OVC:08 22,29.175094339622635,35.924528301886795,080,15.377358490566039
2020-01-16,72797094240,29.706197183098595,31.733333333333334,34.013333333333335,0.01566666666666667,-SN:03 BR:1 |SN |,-0.07166666666666667,1.75,91.86666666666666,29.65142857142857,26,29.485199999999992,33.22666666666667,000,5.716216216216216
2020-01-17,72797094240,30.013437499999995,30.77777777777778,32.916666666666664,0.0016666666666666668,-RA:02 |RA |RA,-0.015833333333333335,4.0,92.0,30.028214285714284,CLR:00,29.798888888888897,32.083333333333336,080,6.611111111111111
2020-01-18,72797094240,30.01409090909091,43.375,45.083333333333336,0.022236842105263156,-RA:02 BR:1 |RA |RA,-0.03333333333333333,2.9166666666666665,93.97916666666667,30.023571428571426,OVC:08 7,29.7975,44.520833333333336,150,10.851063829787234
2020-01-19,72797094240,30.083000000000013,46.851851851851855,48.407407407407405,0.012674418604651164,-RA:02 BR:1 |RA |RA,0.034166666666666665,6.5,94.5925925925926,30.04785714285714,OVC:08 14,29.862037037037044,47.72222222222222,080,6.685185185185185
2020-01-20,72797094240,29.832187499999996,46.6764705882353,48.38235294117647,0.022818181818181824,-RA:02 BR:1 |RA |RA,0.035454545454545454,5.2727272727272725,94.16176470588235,29.79357142857143,OVC:08 7,29.611764705882354,47.529411764705884,140,6.617647058823529
2020-01-21,72797094240,29.646538461538455,43.41463414634146,45.292682926829265,0.04351351351351351,-RA:02 BR:1 |RA |RA,-0.02,3.8333333333333335,93.04878048780488,29.626071428571432,15,29.427073170731713,44.573170731707314,VRB,13.0
2020-01-22,72797094240,29.869452054794525,45.22077922077922,46.54545454545455,0.06626984126984127,-RA:02 BR:1 |RA |RA,0.000833333333333334,5.333333333333333,95.2987012987013,29.878571428571433,OVC:08 9,29.65142857142857,45.97402597402598,VRB,7.467532467532467
2020-01-23,72797094240,29.81212500000001,48.95238095238095,49.857142857142854,0.09753521126760564,-RA:02 BR:1 |RA |RA,0.011666666666666667,5.0,96.5952380952381,29.814285714285713,OVC:08 7,29.593571428571426,49.05952380952381,VRB,10.892857142857142
2020-01-24,72797094240,29.859882352941177,46.60674157303371,47.8876404494382,0.03440298507462687,-RA:02 BR:1 |RA |RA,-0.0175,3.0,95.68539325842697,29.868214285714288,OVC:08 3,29.641910112359547,47.438202247191015,190,8.808988764044944
2020-01-25,72797094240,29.88925373134328,45.36619718309859,46.66197183098591,0.01630952380952381,-RA:02 BR:1 |RA |RA,0.025833333333333337,5.0,95.3943661971831,29.866428571428575,BKN:07 26 OVC:08 33,29.669014084507037,46.25352112676056,000,4.563380281690141
2020-01-26,72797094240,29.847802197802192,45.23157894736842,47.136842105263156,0.025609756097560967,-RA:02 BR:1 |RA |RA,-0.032499999999999994,3.0,93.17894736842105,29.859642857142855,15,29.62978947368422,46.4,VRB,11.368421052631579
2020-01-27,72797094240,29.9302380952381,42.84782608695652,44.84782608695652,0.02125,-RA:02 BR:1 |RA |RA,0.03416666666666667,5.083333333333333,93.02173913043478,29.949999999999996,26,29.713695652173907,44.04347826086956,VRB,6.239130434782608
2020-01-28,72797094240,29.94923076923077,44.81395348837209,47.76744186046512,0.003888888888888889,BR:1 ||,-0.045000000000000005,3.3333333333333335,90.16279069767442,29.964642857142856,OVC:08 12,29.73372093023256,46.46511627906977,000,4.72093023255814
2020-01-29,72797094240,30.104324324324317,43.56410256410256,45.1025641025641,0.07319999999999999,-RA:02 BR:1 |RA |RA,-0.005000000000000002,3.9166666666666665,94.42307692307692,30.108571428571434,OVC:08 26,29.885897435897434,44.5,VRB,8.064102564102564
2020-01-30,72797094240,30.073829787234043,42.509803921568626,44.3921568627451,0.09,RA:02 BR:1 |RA |RA,0.01916666666666667,5.083333333333333,93.41176470588235,30.12607142857143,CLR:00,29.860588235294117,43.549019607843135,VRB,9.490196078431373
2020-01-31,72797094240,29.94574468085107,49.46875,49.989583333333336,0.1146153846153846,RA:02 BR:1 |RA |RA,0.012,5.4,98.0,29.947692307692307,OVC:08 5,29.72729166666667,49.510416666666664,190,13.76842105263158
2020-02-01,72797094240,30.033749999999998,41.225,44.35,0.020555555555555556,-RA:02 BR:1 |RA |RA,-0.045,2.125,89.45,30.109583333333333,OVC:08 5,29.81375,42.975,280,12.4
2020-02-02,72797094240,30.19828125,32.515625,33.9375,0.017083333333333332,-RA:02 BR:1 |RA |RA,0.006250000000000001,6.0,94.90625,30.204166666666666,CLR:00,29.978281250000002,33.46875,000,3.265625
2020-02-03,72797094240,30.30916666666667,30.59722222222222,32.15277777777778,0.0014583333333333332,BR:1 ||,-0.025,2.0,94.375,30.349999999999998,CLR:00,30.089166666666667,31.708333333333332,000,1.8333333333333333
2020-02-04,72797094240,30.22646153846154,38.46153846153846,39.55384615384615,0.05625,-RA:02 BR:1 |RA |RA,0.03875,6.25,96.0923076923077,30.27666666666667,OVC:08 9,30.006461538461537,39.276923076923076,150,5.861538461538461
2020-02-05,72797094240,30.065749999999998,47.2875,47.85,0.064375,-RA:02 BR:1 |RA |RA,0.00375,5.0,97.975,30.068333333333328,OVC:08 5,29.845750000000002,47.6875,240,9.15
2020-02-06,72797094240,30.04500000000001,47.0,47.527472527472526,0.03925,-RA:02 BR:1 |RA |RA,0.005555555555555554,5.555555555555555,98.14285714285714,30.035999999999998,OVC:08 5,29.824835164835164,47.417582417582416,240,6.945054945054945
