DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyWetBulbTemperature,DailyWindDirection,DailyWindSpeed
2020-01-01,72788594266,29.816666666666666,41.333333333333336,47.458333333333336,0.007826086956521738,-RA:02 |RA |RA,-0.048749999999999995,2.375,79.70833333333333,29.81833333333333,BKN:07 35 OVC:08 44,29.512727272727272,44.5,260,13.625
2020-01-02,72788594266,29.97583333333333,35.888888888888886,39.30555555555556,0.008166666666666668,-RA:02 BR:1 |RA |RA,0.020000000000000004,5.0,88.5,30.0025,OVC:08 60,29.665833333333335,37.97222222222222,000,3.888888888888889
2020-01-03,72788594266,29.738214285714285,42.57142857142857,45.714285714285715,0.015384615384615385,-RA:02 |RA |RA,0.018749999999999996,5.25,89.53571428571429,29.741250000000004,CLR:00,29.428214285714287,44.392857142857146,VRB,5.7407407407407405
2020-01-04,72788594266,30.14958333333333,34.916666666666664,40.875,0.005,-RA:02 |RA |RA,-0.07,3.75,80.125,30.15291666666667,CLR:00,29.839583333333334,38.291666666666664,260,6.791666666666667
2020-01-05,72788594266,30.169615384615383,33.84615384615385,38.03846153846154,0.01,-RA:02 BR:1 |RA |RA,-0.0037500000000000007,4.75,85.6923076923077,30.191249999999997,OVC:08 50,29.858461538461544,36.5,000,6.423076923076923
2020-01-06,72788594266,30.05638888888889,40.833333333333336,42.19444444444444,0.012205882352941178,-RA:02 |RA |RA,0.036250000000000004,5.875,95.11111111111111,30.04791666666667,OVC:08 60,29.74638888888889,41.80555555555556,000,3.8055555555555554
2020-01-07,72788594266,29.738421052631583,43.94736842105263,45.94736842105263,0.022647058823529416,-RA:02 |RA |RA,0.031249999999999997,4.875,92.86842105263158,29.737083333333334,OVC:08 60,29.428421052631585,45.078947368421055,000,5.131578947368421
2020-01-08,72788594266,29.845,30.458333333333332,39.416666666666664,0.0,-SN:03 BR:1 |SN |,-0.028749999999999998,2.125,70.91666666666667,29.852083333333336,CLR:00,29.535,35.708333333333336,270,10.875
2020-01-09,72788594266,30.127105263157905,32.6578947368421,36.078947368421055,0.008181818181818182,-SN:03 BR:1 |SN |,-0.0225,2.875,87.97368421052632,30.15041666666667,CLR:00,29.817105263157888,34.73684210526316,000,4.105263157894737
2020-01-10,72788594266,29.69857142857143,36.94285714285714,38.77142857142857,0.015156250000000001,-RA:02 |RA |RA,0.0825,5.875,93.45714285714286,29.672916666666666,OVC:08 45,29.388571428571424,38.114285714285714,000,5.171428571428572
2020-01-11,72788594266,29.756060606060604,36.09090909090909,42.54545454545455,0.003461538461538461,-RA:02 |RA |RA,-0.03875,2.75,79.0,29.773333333333337,CLR:00,29.446060606060605,39.90909090909091,280,11.121212121212121
2020-01-12,72788594266,29.594848484848487,30.757575757575758,36.484848484848484,0.01359375,-RA:02 |RA |RA,0.025,5.5,80.42424242424242,29.583333333333332,OVC:08 55,29.28484848484849,34.24242424242424,260,13.129032258064516
2020-01-13,72788594266,29.84318181818181,23.818181818181817,27.045454545454547,0.012162162162162163,-SN:03 BR:1 |SN |,-0.017499999999999998,3.875,87.79545454545455,29.856250000000003,OVC:08 10,29.533181818181813,26.022727272727273,VRB,4.571428571428571
2020-01-14,72788594266,29.900624999999998,23.28125,26.453125,0.022410714285714284,-SN:03 BR:1 |SN |,-0.00875,4.375,87.84375,29.912500000000005,OVC:08 18,29.590625000000003,25.421875,VRB,4.3125
2020-01-15,72788594266,29.600434782608694,29.434782608695652,31.456521739130434,0.013375000000000001,-SN:03 BR:1 |SN |,0.07875,5.625,92.3695652173913,29.563750000000002,OVC:08 4,29.2908695652174,30.76086956521739,090,8.934782608695652
2020-01-16,72788594266,29.624000000000002,28.333333333333332,33.8,0.000625,BR:1 ||,-0.07571428571428572,2.142857142857143,80.83333333333333,29.64375,CLR:00,29.314000000000007,31.633333333333333,230,6.633333333333334
2020-01-17,72788594266,30.05583333333333,25.375,31.75,0.0004166666666666667,-SN:03 |SN |,-0.0225,4.0,77.66666666666667,30.064999999999998,CLR:00,29.745833333333337,29.416666666666668,000,5.208333333333333
2020-01-18,72788594266,30.049200000000006,34.8,37.0,0.0020833333333333333,-RA:02 |RA |RA,-0.02375,3.75,92.12,30.05,OVC:08 60,29.7392,36.2,000,3.04
2020-01-19,72788594266,30.09166666666667,37.375,38.5625,0.0008333333333333334,BR:1 ||,0.026250000000000002,6.0,95.79166666666667,30.09708333333333,CLR:00,29.781666666666666,38.208333333333336,000,3.2916666666666665
2020-01-20,72788594266,29.792857142857148,39.77142857142857,40.371428571428574,0.003875,BR:1 ||,0.034999999999999996,5.875,97.82857142857142,29.827083333333334,OVC:08 60,29.48285714285714,40.31428571428572,000,4.042857142857143
2020-01-21,72788594266,29.624693877551017,38.53061224489796,39.55102040816327,0.018815789473684213,-RA:02 BR:1 |RA |RA,-0.0175,3.5,96.38775510204081,29.645833333333332,OVC:08 50,29.314693877551022,39.285714285714285,000,3.8979591836734695
2020-01-22,72788594266,29.90314814814815,39.148148148148145,39.666666666666664,0.011125,-RA:02 BR:1 |RA |RA,-0.011249999999999998,3.125,98.0925925925926,29.913750000000004,OVC:08 70,29.593148148148142,39.592592592592595,000,1.5
2020-01-23,72788594266,29.806607142857143,44.82142857142857,45.19642857142857,0.011891891891891894,BR:1 ||,0.01,5.125,98.67857142857143,29.828750000000003,OVC:08 4,29.49660714285714,45.089285714285715,000,2.517857142857143
2020-01-24,72788594266,29.885818181818188,41.945454545454545,43.32727272727273,0.012272727272727274,BR:1 ||,-0.02375,3.75,95.14545454545454,29.87750000000001,CLR:00,29.575818181818192,42.836363636363636,000,4.181818181818182
2020-01-25,72788594266,29.911041666666666,42.333333333333336,44.125,0.000625,BR:1 ||,0.0225,4.625,93.72916666666667,29.91208333333333,OVC:08 11,29.601041666666664,43.5,000,3.5
2020-01-26,72788594266,29.869666666666667,41.86666666666667,45.666666666666664,0.006923076923076922,-RA:02 |RA |RA,-0.015,3.75,87.13333333333334,29.865833333333338,CLR:00,29.55966666666667,44.1,000,5.1
2020-01-27,72788594266,29.980285714285714,38.857142857142854,40.74285714285714,0.007115384615384616,-RA:02 |RA |RA,0.026250000000000006,3.375,93.14285714285714,29.986249999999995,CLR:00,29.670285714285715,40.05714285714286,000,3.2
2020-01-28,72788594266,30.001355932203392,43.152542372881356,44.32203389830509,0.00823529411764706,-RA:02 |RA |RA,-0.03875,2.5,95.79661016949153,29.999166666666667,OVC:08 4,29.691355932203386,44.03389830508475,000,3.016949152542373
2020-01-29,72788594266,30.064107142857143,41.535714285714285,43.607142857142854,0.012857142857142859,-RA:02 BR:1 |RA |RA,-0.005000000000000001,3.75,92.91071428571429,30.10625,CLR:00,29.754107142857144,42.875,000,5.839285714285714
2020-01-30,72788594266,30.118571428571425,38.02857142857143,40.714285714285715,0.003148148148148148,-RA:02 |RA |RA,0.02875,4.25,90.48571428571428,30.137083333333333,CLR:00,29.808571428571426,39.65714285714286,000,3.5428571428571427
2020-01-31,72788594266,29.905833333333337,45.22222222222222,49.916666666666664,0.018103448275862067,-RA:02 BR:1 |RA |RA,0.020000000000000004,6.125,86.75,29.90416666666667,OVC:08 60,29.595833333333335,47.55555555555556,000,4.857142857142857
2020-02-01,72788594266,30.041999999999998,39.31111111111111,42.666666666666664,0.03465909090909091,-RA:02 |RA |RA,-0.052500000000000005,2.875,88.06666666666666,30.074583333333333,BKN:07 45 OVC:08 55,29.732000000000006,41.15555555555556,290,10.25
2020-02-02,72788594266,30.194166666666664,30.875,35.875,0.0,-SN:03 BR:1 |SN |,0.009999999999999998,5.25,82.75,30.201249999999998,CLR:00,29.88416666666667,33.791666666666664,000,3.9583333333333335
2020-02-03,72788594266,30.32372093023256,30.069767441860463,32.93023255813954,0.019125,-SN:03 BR:1 |SN |,-0.024999999999999998,1.75,89.74418604651163,30.353750000000005,CLR:00,30.008604651162795,31.906976744186046,000,3.9767441860465116
2020-02-04,72788594266,30.255714285714287,31.904761904761905,34.07142857142857,0.00794871794871795,-RA:02 BR:1 |RA |RA,0.03875,6.125,92.21428571428571,30.29083333333334,OVC:08 60,29.942380952380955,33.333333333333336,000,2.619047619047619
